Identifier	Drug Name	SMILES	Evidence	Experimental evidence	MoA code	Potential MoA	Annotator	Reference	Reference (2)	Reference (3)	Reference (4)
cov154	Chalcone	C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov155	Disulfiram	CCN(CC)C(=S)SSC(=S)N(CC)CC	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	3	Protease inhibitor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov156	Carmofur	CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	4	RNA transcription or replication	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov157	Shikonin	CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov158	Ebselen	C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov159	Tideglusib	C1=CC=C(C=C1)CN2C(=O)N(SC2=O)C3=CC=CC4=CC=CC=C43	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov160	PX-12	CCC(C)SSC1=NC=CN1	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov161	TDZD-8	CN1SC(N(C1=O)CC2=CC=CC=C2)=O	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	1	Host factor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov162	Cyclosporin A	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	0	Unknown	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov163	Cinanserin	CN(C)CCCSC1=CC=CC=C1NC(=O)\C=C\C2=CC=CC=C2	1	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	3	Protease inhibitor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en			
cov164	JQ1	O=C(OC(C)(C)C)C[C@@H]1N=C(C4=CC=C(Cl)C=C4)C3=C(SC(C)=C3C)N2C1=NN=C2C	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov165	RVX-208	O=C1C2=C(OC)C=C(OC)C=C2NC(C3=CC(C)=C(OCCO)C(C)=C3)=N1	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov166	Silmitasertib	C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov167	TMCB	CN(C)C1=NC2=C(N1CC(=O)O)C(=C(C(=C2Br)Br)Br)Br	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov168	Apicidin	CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov169	Valproic Acid	CCCC(CCC)C(=O)O	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov170	Bafilomycin A1	CC1CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C(C)C)C)O)O)O)OC)C	1	Drugs from Sars-Cov-2-Human PPI map	2	Viral entry	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov171	E-52862	CC1=CC(OCCN2CCOCC2)=NN1C1=CC=C2C=CC=CC2=C1	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov172	PD-144418	CCCN1CCC=C(C1)C2=CC(=NO2)C3=CC=C(C=C3)C	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov173	RS-PPC	COC(=O)C1(CC1CN2CCC(O)(CC2)c3ccccc3)c4ccc(C)cc4	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov174	PB28	COc1c(CCCC2CCCN3CCN(C4CCCCC4)CC3)c2ccc1	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov175	Haloperidol 	c1cc(ccc1C(=O)CCCN2CCC(CC2)(c3ccc(cc3)Cl)O)F	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov176	Entacapone	CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov177	Indomethacin 	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	1	Drugs from Sars-Cov-2-Human PPI map	5	Immunomodulatory	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov178	Metformin	CN(C)C(=N)N=C(N)N	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov179	Ponatinib 	CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov180	H-89	O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O.Cl.Cl	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov181	Merimepodib	COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)O[C@H]3CCOC3)C4=CN=CO4	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov182	Migalastat	C1[C@@H]([C@H]([C@H]([C@H](N1)CO)O)O)O	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov183	Mycophenolic acid	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O	1	Drugs from Sars-Cov-2-Human PPI map	5	Immunomodulatory	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov184	Ribavirin	C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N	1	Drugs from Sars-Cov-2-Human PPI map	4	RNA transcription or replication	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov185	XL413	ClC1=CC=C2C(C(N=[C@@]([C@H]4NCCC4)NC3=O)=C3O2)=C1.Cl	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov186	CCT 365623	CS(=O)(=O)C=1C=C(C=C(C1)C1=CC=CC=C1)S(=O)(=O)C1=CC=C(S1)CN	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov187	Midostaurin	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov188	Ruxolitinib	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov189	ZINC1775962367		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov190	ZINC4326719		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov191	ZINC451 1851		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov192	ZINC95559591		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov193	AC-55541	O=C2C1=CC=CC=C1C(C(NC(C3=CC=CC=C3)=O)C(N/N=C(C)/C4=CC=CC(Br)=C4)=O)=NN2	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov194	AZ8838	O[C@H](C1=CC=C(F)C=C1CCC)C2=NC=CN2	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov195	Daunorubicin	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov196	GB 110		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov197	S-verapamil	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov198	AZ3451	C[C@H](N1C2=CC=C(C(NC3=CC=C(C#N)C=C3)=O)C=C2N=C1C4=C(C=C5OCOC5=C4)Br)C6CCCCC6	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov200	ABBV-744	CC(O)(C)C1=CC(C(C2=C3NC(C(NCC)=O)=C2)=CN(C)C3=O)=C(OC4=C(C)C=C(F)C=C4C)C=C1	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov201	dBET6	O=C(NCCCCCCCCNC(COC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)=O)C[C@H]4C5=NN=C(C)N5C6=C(C(C)=C(C)S6)C(C7=CC=C(Cl)C=C7)=N4	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov202	MZ1	CC1=NN=C2[C@H](CC(NCCOCCOCCOCC(N[C@@H](C(C)(C)C)C(N3[C@H](C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)C[C@@H](O)C3)=O)=O)=O)N=C(C6=CC=C(Cl)C=C6)C7=C(SC(C)=C7C)N21	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov203	CPI-0610	CC1=NOC2=C1C3=CC=CC=C3C(=N[C@H]2CC(=O)N)C4=CC=C(C=C4)Cl	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov204	Sapanisertib	CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov205	Rapamycin	O[C@@H]1CC[C@H](C[C@H]1OC)C[C@@H](C)[C@@H]4CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@H]3C(=O)O4	1	Drugs from Sars-Cov-2-Human PPI map	5	Immunomodulatory	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov206	Zotatifin	CN(C)C[C@@H]1[C@H]([C@]2([C@@]([C@@H]1O)(C3=C(N=C(C=C3O2)OC)OC)O)C4=CC=C(C=C4)C#N)C5=CC=CC=C5	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov207	Verdinexor	C1=CC=NC(=C1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov209	Dabrafenib	CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov210	WDB002		1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov211	Sanglifehrin A	CC[C@H]1C[C@@H]([C@@]2([C@H]([C@H]([C@H]([C@@H](O2)C[C@@H]([C@@H](C)CC/C=C/C=C(\C)/[C@@H]3C/C=C/C=C/[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@H](N4)C(=O)O3)CC5=CC(=CC=C5)O)C(C)C)CCC(=O)C)O)C)O)O)C)O)C)NC1=O)C	1	Drugs from Sars-Cov-2-Human PPI map	5	Immunomodulatory	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov212	FK-506	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	1	Drugs from Sars-Cov-2-Human PPI map	5	Immunomodulatory	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov213	Pevonedistat	C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov214	Ternatin 4	C1=CC(=CC=C1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=C(C=C3)/C=C/C(=O)OC[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)OC5=CC(=CC(=C5O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)COC(=O)/C=C/C7=CC=C(C=C7)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)COC(=O)/C=C/C9=CC=C(C=C9)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O)O)O)O)C1=[O+]C2=CC(=CC(=C2C=C1O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O)O)O)O)O)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov215	4E2RCat	O=C(O)C1=CC(C2=CC=C(/C=C(SC(N3CC4=CC=CC=C4)=S)/C3=O)O2)=CC=C1Cl	1	Drugs from Sars-Cov-2-Human PPI map	4	RNA transcription or replication	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf	https://www.ncbi.nlm.nih.gov/pubmed/?term=Blocking+eIF4E%3AeIF4G+interaction+as+a+strategy+to+impair+coronavirus+replication		
cov216	Tomivosertib	CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3	1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov217	Compound 2		1	Drugs from Sars-Cov-2-Human PPI map	4	RNA transcription or replication	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov218	Compound 10		1	Drugs from Sars-Cov-2-Human PPI map	4	RNA transcription or replication	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov219	PD3061		1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov220	IHVR-19029		1	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov221	Captopril	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O	1	Drugs from Sars-Cov-2-Human PPI map	2	Viral entry	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov222	Lisinopril	C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O	1	Drugs from Sars-Cov-2-Human PPI map	2	Viral entry	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov223	Camostat	CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N	1	Drugs from Sars-Cov-2-Human PPI map	2	Viral entry	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov224	Chloramphenicol	C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov225	Tigecycline	CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov226	Linezolid	CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F	1	Drugs from Sars-Cov-2-Human PPI map	0	Unknown	Victor	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf			
cov229	Rintatolimod	O=P(O)(O)OC[C@H]3O[C@@H](n1c2N\C=N/C(=O)c2nc1)[C@H](O)[C@@H]3O.O=C1/N=C(/N)\C=C/N1[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O.O=C/1NC(=O)N(\C=C\1)[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)COP(=O)(O)O	1	Under investigation for possible prophylactic/early-onset therapeutic against COVID-19	5	Immunomodulatory	Adria	https://www.genengnews.com/virology/coronavirus/catching-up-to-coronavirus-top-60-treatments-in-development/			
cov223	Brilacidin	C1CNC[C@@H]1OC2=C(C=C(C=C2NC(=O)C3=CC(=NC=N3)C(=O)NC4=CC(=CC(=C4O[C@@H]5CCNC5)NC(=O)CCCCNC(=N)N)C(F)(F)F)C(F)(F)F)NC(=O)CCCCNC(=N)N	1	Mimic the human innate immune system and a mechanism of action, disrupting the membrane of pathogens (mainly bacterial). Remains to be tested.	0	Unknown	Adria	https://www.genengnews.com/virology/coronavirus/catching-up-to-coronavirus-top-60-treatments-in-development/			
cov224	Theaflavin	c1c(cc(=O)c(c2c1c(cc(c2O)O)[C@@H]3[C@@H](Cc4c(cc(cc4O3)O)O)O)O)[C@@H]5[C@@H](Cc6c(cc(cc6O5)O)O)O	1	Inhibits the Sars-Cov-2 receptor binding domain (RBD) in the distal part of S1 subunit, according to docking analysis	2	Viral entry	Adria	https://www.biorxiv.org/content/biorxiv/early/2020/03/26/2020.03.26.009803.full.pdf?%3Fcollection=			
cov225	Danoprevir	CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6	4	Potent HCV protease (NS3/4A) inhibitor (IC50 = 0.29 nM), which was approved in China since 2018 to treat chronic hepatitis C patients	3	Protease inhibitor	Victor	https://www.medrxiv.org/content/10.1101/2020.03.22.20034041v1			
cov226	Hydroxychloroquine	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO	4	Anti SARS-CoV and MERS-CoV in vitro. Clinical Trials in China at France	2	Viral entry	Victor	https://www.medrxiv.org/content/10.1101/2020.03.22.20040758v1	https://www.biorxiv.org/content/10.1101/2020.03.29.014407v1	https://www.medrxiv.org/content/10.1101/2020.03.24.20042366v1.article-metrics	
cov227	Migalastat	C1[C@@H]([C@H]([C@H]([C@H](N1)CO)O)O)O	3	Drugs from Sars-Cov-2-Human PPI map	1	Host factor	Victor/Isa	https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf	https://www.ncbi.nlm.nih.gov/pubmed/30723321		
cov223	Azithromycin	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O	2	Azithromycin confers in vitro effects on intracellular organelles similar to the effects of chloroquine	2	Viral entry	Victor	https://www.biorxiv.org/content/10.1101/2020.03.29.008631v1			
cov224	Baloxavir marboxil	COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F	4	Antiviral activity against influenza and as potential treatment options for COVID-19	4	RNA transcription or replication	Victor	https://www.nature.com/articles/d41587-020-00003-1			
cov225	Triazavirin	CSc1[nH]n2c(=O)c(nnc2n1)[N+](=O)[O-]	4	Non-nucleoside antiviral drug; effective against tick-borne encephalitis virus and forest-spring encephalitis virus	4	RNA transcription or replication	Victor	http://www.chictr.org.cn/showprojen.aspx?proj=49723			
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
cov224											
cov225											
cov226											
cov229											
cov223											
